frame_idx,pc_prob_0,pc_prob_1,pc_prob_2,mcu_prob_0,mcu_prob_1,mcu_prob_2,abs_err_0,abs_err_1,abs_err_2,frame_max_abs_err,pc_pred_id,pc_pred_label,mcu_pred_id,mcu_pred_label,pred_match
0,0.0016961420187726617,0.00019620034436229616,0.9981076717376709,0.0016961421351879835,0.0001962003589142114,0.9981076717376709,1.1641532182693481e-10,1.4551915228366852e-11,0.0,1.1641532182693481e-10,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
1,0.01589951105415821,0.784005343914032,0.20009513199329376,0.015899501740932465,0.7840052843093872,0.20009516179561615,9.313225746154785e-09,5.960464477539063e-08,2.9802322387695312e-08,5.960464477539063e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
2,0.01589951105415821,0.784005343914032,0.20009513199329376,0.015899501740932465,0.7840052843093872,0.20009516179561615,9.313225746154785e-09,5.960464477539063e-08,2.9802322387695312e-08,5.960464477539063e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
3,0.01589951105415821,0.784005343914032,0.20009513199329376,0.015899501740932465,0.7840052843093872,0.20009516179561615,9.313225746154785e-09,5.960464477539063e-08,2.9802322387695312e-08,5.960464477539063e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
4,0.01589951105415821,0.784005343914032,0.20009513199329376,0.015899501740932465,0.7840052843093872,0.20009516179561615,9.313225746154785e-09,5.960464477539063e-08,2.9802322387695312e-08,5.960464477539063e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
5,0.01589951105415821,0.784005343914032,0.20009513199329376,0.015899501740932465,0.7840052843093872,0.20009516179561615,9.313225746154785e-09,5.960464477539063e-08,2.9802322387695312e-08,5.960464477539063e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
6,0.01589951105415821,0.784005343914032,0.20009513199329376,0.015899501740932465,0.7840052843093872,0.20009516179561615,9.313225746154785e-09,5.960464477539063e-08,2.9802322387695312e-08,5.960464477539063e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
7,0.0026823028456419706,0.004101919941604137,0.9932158589363098,0.002682300051674247,0.004101917613297701,0.9932157397270203,2.7939677238464355e-09,2.3283064365386963e-09,1.1920928955078125e-07,1.1920928955078125e-07,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
8,0.01589951105415821,0.784005343914032,0.20009513199329376,0.015899501740932465,0.7840052843093872,0.20009516179561615,9.313225746154785e-09,5.960464477539063e-08,2.9802322387695312e-08,5.960464477539063e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
9,0.01589951105415821,0.784005343914032,0.20009513199329376,0.015899501740932465,0.7840052843093872,0.20009516179561615,9.313225746154785e-09,5.960464477539063e-08,2.9802322387695312e-08,5.960464477539063e-08,1,SIGNAL_BAD_OR_CONTACT_BAD,1,SIGNAL_BAD_OR_CONTACT_BAD,True
10,0.0017594612436369061,0.0010564548429101706,0.9971840977668762,0.0017594614764675498,0.0010564548429101706,0.9971840977668762,2.3283064365386963e-10,0.0,0.0,2.3283064365386963e-10,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
11,0.0016255328664556146,0.0009314477792941034,0.9974429607391357,0.0016255324007943273,0.0009314474300481379,0.9974430799484253,4.656612873077393e-10,3.4924596548080444e-10,1.1920928955078125e-07,1.1920928955078125e-07,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
12,0.0009068592917174101,0.00012545751815196127,0.9989676475524902,0.0009068592917174101,0.00012545750360004604,0.9989676475524902,0.0,1.4551915228366852e-11,0.0,1.4551915228366852e-11,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
13,0.0009400793933309615,0.0001326982892351225,0.9989272952079773,0.0009400788112543523,0.0001326982892351225,0.9989271759986877,5.820766091346741e-10,0.0,1.1920928955078125e-07,1.1920928955078125e-07,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
14,0.001969008008018136,0.0004298426501918584,0.9976012110710144,0.001969008008018136,0.00042984288302250206,0.9976012110710144,0.0,2.3283064365386963e-10,0.0,2.3283064365386963e-10,2,UNCERTAIN_OR_MOTION,2,UNCERTAIN_OR_MOTION,True
